Year	Count	DataSetType	Type
2014	128	methylation profiling by array	microarray
2015	92	methylation profiling by array	microarray
2016	101	methylation profiling by array	microarray
2017	103	methylation profiling by array	microarray
2018	92	methylation profiling by array	microarray
2019	111	methylation profiling by array	microarray
2020	102	methylation profiling by array	microarray
2021	136	methylation profiling by array	microarray
2022	131	methylation profiling by array	microarray
2023	159	methylation profiling by array	microarray
2000	0	methylation profiling by genome tiling array	microarray
2001	0	methylation profiling by genome tiling array	microarray
2002	0	methylation profiling by genome tiling array	microarray
2003	0	methylation profiling by genome tiling array	microarray
2004	0	methylation profiling by genome tiling array	microarray
2005	2	methylation profiling by genome tiling array	microarray
2006	2	methylation profiling by genome tiling array	microarray
2007	6	methylation profiling by genome tiling array	microarray
2008	6	methylation profiling by genome tiling array	microarray
2009	36	methylation profiling by genome tiling array	microarray
2010	42	methylation profiling by genome tiling array	microarray
2011	39	methylation profiling by genome tiling array	microarray
2012	90	methylation profiling by genome tiling array	microarray
2013	101	methylation profiling by genome tiling array	microarray
2014	129	methylation profiling by genome tiling array	microarray
2015	187	methylation profiling by genome tiling array	microarray
2016	178	methylation profiling by genome tiling array	microarray
2017	194	methylation profiling by genome tiling array	microarray
2018	144	methylation profiling by genome tiling array	microarray
2019	166	methylation profiling by genome tiling array	microarray
2020	214	methylation profiling by genome tiling array	microarray
2021	201	methylation profiling by genome tiling array	microarray
2022	223	methylation profiling by genome tiling array	microarray
2023	176	methylation profiling by genome tiling array	microarray
2000	0	methylation profiling by snp array	microarray
2001	0	methylation profiling by snp array	microarray
2002	0	methylation profiling by snp array	microarray
2003	0	methylation profiling by snp array	microarray
2004	0	methylation profiling by snp array	microarray
2005	0	methylation profiling by snp array	microarray
2006	0	methylation profiling by snp array	microarray
2007	0	methylation profiling by snp array	microarray
2008	1	methylation profiling by snp array	microarray
2009	0	methylation profiling by snp array	microarray
2010	2	methylation profiling by snp array	microarray
2011	1	methylation profiling by snp array	microarray
2012	2	methylation profiling by snp array	microarray
2013	3	methylation profiling by snp array	microarray
2014	0	methylation profiling by snp array	microarray
2015	1	methylation profiling by snp array	microarray
2016	0	methylation profiling by snp array	microarray
2017	0	methylation profiling by snp array	microarray
2018	1	methylation profiling by snp array	microarray
2019	0	methylation profiling by snp array	microarray
2020	2	methylation profiling by snp array	microarray
2021	1	methylation profiling by snp array	microarray
2022	0	methylation profiling by snp array	microarray
2023	0	methylation profiling by snp array	microarray
2000	0	non coding rna profiling by array	microarray
2001	0	non coding rna profiling by array	microarray
2002	0	non coding rna profiling by array	microarray
2003	0	non coding rna profiling by array	microarray
2004	3	non coding rna profiling by array	microarray
2005	5	non coding rna profiling by array	microarray
2006	10	non coding rna profiling by array	microarray
2007	16	non coding rna profiling by array	microarray
2008	41	non coding rna profiling by array	microarray
2009	102	non coding rna profiling by array	microarray
2010	144	non coding rna profiling by array	microarray
2011	206	non coding rna profiling by array	microarray
2012	245	non coding rna profiling by array	microarray
2013	323	non coding rna profiling by array	microarray
2014	338	non coding rna profiling by array	microarray
2015	383	non coding rna profiling by array	microarray
2016	335	non coding rna profiling by array	microarray
2017	361	non coding rna profiling by array	microarray
2018	297	non coding rna profiling by array	microarray
2019	245	non coding rna profiling by array	microarray
2020	281	non coding rna profiling by array	microarray
2021	254	non coding rna profiling by array	microarray
2022	247	non coding rna profiling by array	microarray
2023	187	non coding rna profiling by array	microarray
2000	0	non coding rna profiling by genome tiling array	microarray
2001	0	non coding rna profiling by genome tiling array	microarray
2002	0	non coding rna profiling by genome tiling array	microarray
2003	0	non coding rna profiling by genome tiling array	microarray
2004	0	non coding rna profiling by genome tiling array	microarray
2005	0	non coding rna profiling by genome tiling array	microarray
2006	0	non coding rna profiling by genome tiling array	microarray
2007	0	non coding rna profiling by genome tiling array	microarray
2008	0	non coding rna profiling by genome tiling array	microarray
2009	2	non coding rna profiling by genome tiling array	microarray
2010	4	non coding rna profiling by genome tiling array	microarray
2011	3	non coding rna profiling by genome tiling array	microarray
2012	5	non coding rna profiling by genome tiling array	microarray
2013	3	non coding rna profiling by genome tiling array	microarray
2014	1	non coding rna profiling by genome tiling array	microarray
2015	0	non coding rna profiling by genome tiling array	microarray
2016	1	non coding rna profiling by genome tiling array	microarray
2017	0	non coding rna profiling by genome tiling array	microarray
2018	0	non coding rna profiling by genome tiling array	microarray
2019	0	non coding rna profiling by genome tiling array	microarray
2020	0	non coding rna profiling by genome tiling array	microarray
2021	2	non coding rna profiling by genome tiling array	microarray
2022	1	non coding rna profiling by genome tiling array	microarray
2023	1	non coding rna profiling by genome tiling array	microarray
2000	0	protein profiling by protein array	microarray
2001	0	protein profiling by protein array	microarray
2002	6	protein profiling by protein array	microarray
2003	0	protein profiling by protein array	microarray
2004	1	protein profiling by protein array	microarray
2005	0	protein profiling by protein array	microarray
2006	1	protein profiling by protein array	microarray
2007	1	protein profiling by protein array	microarray
2008	7	protein profiling by protein array	microarray
2009	10	protein profiling by protein array	microarray
2010	7	protein profiling by protein array	microarray
2011	20	protein profiling by protein array	microarray
2012	19	protein profiling by protein array	microarray
2013	24	protein profiling by protein array	microarray
2014	18	protein profiling by protein array	microarray
2015	41	protein profiling by protein array	microarray
2016	28	protein profiling by protein array	microarray
2017	21	protein profiling by protein array	microarray
2018	16	protein profiling by protein array	microarray
2019	20	protein profiling by protein array	microarray
2020	22	protein profiling by protein array	microarray
2021	20	protein profiling by protein array	microarray
2022	30	protein profiling by protein array	microarray
2023	29	protein profiling by protein array	microarray
2000	0	snp genotyping by snp array	microarray
2001	0	snp genotyping by snp array	microarray
2002	0	snp genotyping by snp array	microarray
2003	0	snp genotyping by snp array	microarray
2004	0	snp genotyping by snp array	microarray
2005	3	snp genotyping by snp array	microarray
2006	9	snp genotyping by snp array	microarray
2007	19	snp genotyping by snp array	microarray
2008	34	snp genotyping by snp array	microarray
2009	35	snp genotyping by snp array	microarray
2010	73	snp genotyping by snp array	microarray
2011	72	snp genotyping by snp array	microarray
2012	62	snp genotyping by snp array	microarray
2013	71	snp genotyping by snp array	microarray
2014	74	snp genotyping by snp array	microarray
2015	85	snp genotyping by snp array	microarray
2016	78	snp genotyping by snp array	microarray
2017	50	snp genotyping by snp array	microarray
2018	26	snp genotyping by snp array	microarray
2019	30	snp genotyping by snp array	microarray
2020	27	snp genotyping by snp array	microarray
2021	25	snp genotyping by snp array	microarray
2022	22	snp genotyping by snp array	microarray
2023	18	snp genotyping by snp array	microarray
2000	0	expression profiling by high throughput sequencing	sequencing
2001	0	expression profiling by high throughput sequencing	sequencing
2002	0	expression profiling by high throughput sequencing	sequencing
2003	0	expression profiling by high throughput sequencing	sequencing
2004	0	expression profiling by high throughput sequencing	sequencing
2005	0	expression profiling by high throughput sequencing	sequencing
2006	0	expression profiling by high throughput sequencing	sequencing
2007	0	expression profiling by high throughput sequencing	sequencing
2008	7	expression profiling by high throughput sequencing	sequencing
2009	7	expression profiling by high throughput sequencing	sequencing
2010	37	expression profiling by high throughput sequencing	sequencing
2011	91	expression profiling by high throughput sequencing	sequencing
2012	162	expression profiling by high throughput sequencing	sequencing
2013	287	expression profiling by high throughput sequencing	sequencing
2014	564	expression profiling by high throughput sequencing	sequencing
2015	715	expression profiling by high throughput sequencing	sequencing
2016	2263	expression profiling by high throughput sequencing	sequencing
2017	1749	expression profiling by high throughput sequencing	sequencing
2018	2384	expression profiling by high throughput sequencing	sequencing
