Year	Count	DataSetType	Type
2002	0	methylation profiling by high throughput sequencing	sequencing
2003	0	methylation profiling by high throughput sequencing	sequencing
2004	0	methylation profiling by high throughput sequencing	sequencing
2005	0	methylation profiling by high throughput sequencing	sequencing
2006	0	methylation profiling by high throughput sequencing	sequencing
2007	0	methylation profiling by high throughput sequencing	sequencing
2008	0	methylation profiling by high throughput sequencing	sequencing
2009	1	methylation profiling by high throughput sequencing	sequencing
2010	0	methylation profiling by high throughput sequencing	sequencing
2011	0	methylation profiling by high throughput sequencing	sequencing
2012	0	methylation profiling by high throughput sequencing	sequencing
2013	4	methylation profiling by high throughput sequencing	sequencing
2014	1	methylation profiling by high throughput sequencing	sequencing
2015	0	methylation profiling by high throughput sequencing	sequencing
2016	2	methylation profiling by high throughput sequencing	sequencing
2017	4	methylation profiling by high throughput sequencing	sequencing
2018	0	methylation profiling by high throughput sequencing	sequencing
2019	2	methylation profiling by high throughput sequencing	sequencing
2020	5	methylation profiling by high throughput sequencing	sequencing
2021	1	methylation profiling by high throughput sequencing	sequencing
2022	0	methylation profiling by high throughput sequencing	sequencing
2023	2	methylation profiling by high throughput sequencing	sequencing
2000	0	non coding rna profiling by high throughput sequencing	sequencing
2001	0	non coding rna profiling by high throughput sequencing	sequencing
2002	0	non coding rna profiling by high throughput sequencing	sequencing
2003	0	non coding rna profiling by high throughput sequencing	sequencing
2004	0	non coding rna profiling by high throughput sequencing	sequencing
2005	0	non coding rna profiling by high throughput sequencing	sequencing
2006	0	non coding rna profiling by high throughput sequencing	sequencing
2007	0	non coding rna profiling by high throughput sequencing	sequencing
2008	1	non coding rna profiling by high throughput sequencing	sequencing
2009	3	non coding rna profiling by high throughput sequencing	sequencing
2010	0	non coding rna profiling by high throughput sequencing	sequencing
2011	3	non coding rna profiling by high throughput sequencing	sequencing
2012	3	non coding rna profiling by high throughput sequencing	sequencing
2013	6	non coding rna profiling by high throughput sequencing	sequencing
2014	6	non coding rna profiling by high throughput sequencing	sequencing
2015	8	non coding rna profiling by high throughput sequencing	sequencing
2016	4	non coding rna profiling by high throughput sequencing	sequencing
2017	9	non coding rna profiling by high throughput sequencing	sequencing
2018	4	non coding rna profiling by high throughput sequencing	sequencing
2019	4	non coding rna profiling by high throughput sequencing	sequencing
2020	7	non coding rna profiling by high throughput sequencing	sequencing
2021	6	non coding rna profiling by high throughput sequencing	sequencing
2022	7	non coding rna profiling by high throughput sequencing	sequencing
2023	8	non coding rna profiling by high throughput sequencing	sequencing
